what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455012069160
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1455012070576
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1455012085992
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1455012089824
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1455012095239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1455012099099
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455012100183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455012102818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455012103918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455012108791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455012109715
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1455012109920
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455012111443
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455012111686
error,log,,,"Failed Executing: [nios2-download, '--cable=DE-SoC on localhost [USB-1]', --device=2, --instance=0, --go, /cygdrive/c/altera/14.0/quartus/qdesigns/lights_and_switches_comp/software/lights_and_switches_comp/lights_and_switches_comp.elf] return code: 4, 'other error'",1455012122344
error,log,,,"Downloading ELF Process failed",1455012122355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455012122381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455012124389
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455012125852
error,log,,,"Core exception while retrieving the content description",1455012183165
error,log,,,"Core exception while retrieving the content description",1455012183169
error,log,,,"Core exception while retrieving the content description",1455012183172
error,log,,,"Core exception while retrieving the content description",1455012183175
error,log,,,"Core exception while retrieving the content description",1455012183180
error,log,,,"Core exception while retrieving the content description",1455012183183
error,log,,,"Core exception while retrieving the content description",1455012183187
error,log,,,"Core exception while retrieving the content description",1455012183191
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1455012184106
